"periode","prod totale","prod PV","prod eolien"
199,69666.000,0.000,3490.950
200,71772.000,0.000,4189.140
201,74583.500,0.000,4421.870
202,77355.000,564.480,4421.870
203,79413.500,1505.280,4421.870
204,79248.500,2446.080,3956.410
205,80221.500,3198.720,4654.600
206,79336.000,3198.720,5585.520
207,75503.000,2634.240,6516.440
208,72881.500,1693.440,6749.170
209,71835.500,564.480,6516.440
210,73332.500,0.000,6283.710
211,78044.000,0.000,6516.440
212,80495.000,0.000,6981.900
213,79024.000,0.000,6981.900
214,75745.500,0.000,6749.170
215,74114.000,0.000,6516.440
216,76396.000,0.000,6283.710
217,75404.000,0.000,6050.980
218,72359.500,0.000,6050.980
219,71586.500,0.000,6050.980
220,68936.000,0.000,6050.980
221,66778.500,0.000,5585.520
222,66356.500,0.000,5352.790
223,67061.500,0.000,5352.790
224,68506.000,0.000,5120.060
225,70477.500,0.000,5120.060
226,73143.000,564.480,4654.600
227,75865.500,2069.760,4189.140
228,76919.500,3198.720,3490.950
229,78139.500,3951.360,3490.950
230,76881.000,3951.360,3723.680
231,72451.000,3386.880,3956.410
232,69609.000,2446.080,4189.140
233,68571.500,940.800,4189.140
234,70395.000,0.000,4421.870
235,76315.000,0.000,4887.330
236,79915.500,0.000,4887.330
237,78573.000,0.000,4421.870
238,75558.000,0.000,3723.680
239,73666.000,0.000,3258.220
240,75726.000,0.000,2792.760
241,74992.500,0.000,2560.030
242,72574.000,0.000,2327.300
243,72487.500,0.000,2327.300
244,70536.500,0.000,2094.570
245,69262.500,0.000,2560.030
246,70805.000,0.000,2560.030
247,75586.000,0.000,2560.030
248,82142.500,0.000,3025.490
249,86781.500,0.000,3025.490
250,87831.500,940.800,3258.220
251,87153.000,2634.240,3258.220
252,86180.000,3575.040,3490.950
253,86370.000,3951.360,3723.680
254,85536.500,4139.520,3956.410
255,82929.000,3575.040,4421.870
256,80547.500,2446.080,5120.060
257,79827.500,940.800,6050.980
258,81272.000,0.000,6981.900
259,85968.000,0.000,7680.090
260,87864.500,0.000,8378.280
261,83591.000,0.000,8843.740
262,78784.500,0.000,9541.930
263,76144.500,0.000,10240.120
264,77534.500,0.000,10938.310
265,76188.000,0.000,12101.960
266,73605.500,0.000,12800.150
267,73125.500,0.000,13265.610
268,70657.500,0.000,13731.070
269,69153.000,0.000,14196.530
270,70044.500,0.000,14661.990
271,74428.000,0.000,14894.720
272,80432.500,0.000,15127.450
273,84207.000,0.000,15360.180
274,84842.000,376.320,15127.450
275,84447.000,1128.960,14661.990
276,84270.000,1505.280,14196.530
277,84979.000,2069.760,13498.340
278,84133.500,2069.760,12334.690
279,81793.000,1693.440,11403.770
280,79301.000,1128.960,10705.580
281,78135.500,376.320,9774.660
282,78410.000,0.000,9309.200
283,81433.000,0.000,8378.280
284,82673.500,0.000,7447.360
285,78361.500,0.000,6749.170
286,73533.000,0.000,6050.980
287,70765.500,0.000,5352.790
288,71742.000,0.000,4887.330
289,70266.500,0.000,4421.870
290,66878.000,0.000,4189.140
291,66264.500,0.000,3956.410
292,63872.500,0.000,3956.410
293,62293.000,0.000,3956.410
294,63118.500,0.000,3956.410
295,67189.500,0.000,3956.410
296,72781.000,0.000,4421.870
297,76854.500,0.000,4887.330
298,77731.500,564.480,4887.330
299,77708.500,1505.280,5352.790
300,77644.500,2069.760,6050.980
301,78593.500,2634.240,6749.170
302,77802.500,2446.080,7447.360
303,75688.500,2257.920,8378.280
304,73432.500,1505.280,9309.200
305,72521.000,564.480,10472.850
306,72965.500,0.000,11403.770
307,76641.000,0.000,12101.960
308,78257.000,0.000,12101.960
309,74083.500,0.000,12101.960
310,69472.500,0.000,11869.230
311,66911.000,0.000,11403.770
312,68312.500,0.000,10938.310
313,66887.500,0.000,10240.120
314,63930.500,0.000,9774.660
315,63089.500,0.000,9076.470
316,60676.500,0.000,8611.010
317,59056.500,0.000,8843.740
318,59992.000,0.000,8611.010
319,64428.500,0.000,8145.550
320,70790.500,0.000,8611.010
321,74715.000,0.000,8843.740
322,75418.000,752.640,8611.010
323,74782.000,1693.440,8843.740
324,74921.000,2446.080,9309.200
325,76211.000,2822.400,10240.120
326,75807.000,2634.240,11403.770
327,73671.000,2257.920,11869.230
328,71642.500,1505.280,12567.420
329,70682.000,564.480,12800.150
330,71520.500,0.000,13032.880
331,75056.000,0.000,12334.690
332,77018.000,0.000,12101.960
333,73235.500,0.000,11636.500
334,68856.500,0.000,11403.770
335,66555.500,0.000,10938.310
336,68448.500,0.000,10705.580
337,67229.000,0.000,10472.850
338,64314.000,0.000,10240.120
339,63931.000,0.000,9774.660
340,61852.500,0.000,9309.200
341,60650.000,0.000,8843.740
342,61950.500,0.000,8145.550
343,66461.000,0.000,7680.090
344,72843.500,0.000,7447.360
345,77121.000,0.000,7214.630
346,78184.500,752.640,6981.900
347,78341.500,1881.600,6516.440
348,78018.500,2822.400,6516.440
349,78448.000,3198.720,6516.440
350,77542.500,3010.560,6516.440
351,75245.000,2446.080,6050.980
352,73328.500,1693.440,5352.790
353,72418.500,752.640,4421.870
354,73824.000,0.000,3956.410
355,78192.500,0.000,3490.950
356,79899.500,0.000,3258.220
357,77215.000,0.000,3025.490
358,73136.000,0.000,2792.760
359,71211.000,0.000,2560.030
360,73264.000,0.000,2560.030
361,72040.000,0.000,2327.300
362,68861.500,0.000,2327.300
363,68198.500,0.000,2094.570
364,65952.000,0.000,2327.300
365,64383.500,0.000,2327.300
366,64439.500,0.000,2560.030
367,66256.500,0.000,3025.490
368,68549.500,0.000,3490.950
369,71474.500,0.000,4189.140
370,74119.500,940.800,4887.330
371,75731.000,2069.760,5120.060
372,76207.500,3010.560,5585.520
373,77849.000,3198.720,6283.710
374,77564.000,2822.400,6981.900
375,74321.000,2446.080,7447.360
376,71912.500,1505.280,7680.090
377,70836.500,564.480,7912.820
378,71357.000,0.000,8145.550
379,75086.000,0.000,8145.550
380,76636.000,0.000,7680.090
381,74326.500,0.000,7214.630
382,70595.000,0.000,6749.170
383,68734.000,0.000,6283.710
384,70777.500,0.000,6283.710
385,69629.000,0.000,6050.980
386,66491.000,0.000,5818.250
387,65271.000,0.000,5818.250
388,62360.000,0.000,6050.980
389,60144.000,0.000,6050.980
390,59363.000,0.000,6050.980
391,59888.500,0.000,6283.710
392,60885.500,0.000,6749.170
393,62652.500,0.000,6749.170
394,65119.500,564.480,6981.900
395,67568.500,1881.600,6981.900
396,68444.500,3198.720,6516.440
397,69510.000,3951.360,6516.440
398,68496.000,3951.360,6516.440
399,64492.000,3575.040,6050.980
400,61937.500,2822.400,5352.790
401,60845.000,1317.120,4654.600
402,62392.500,188.160,4189.140
403,69447.000,0.000,3723.680
404,72720.000,0.000,3723.680
405,70745.500,0.000,3258.220
406,67849.000,0.000,3025.490
407,66169.000,0.000,2560.030
408,68375.500,0.000,2327.300
409,67935.000,0.000,2327.300
410,65625.000,0.000,2560.030
411,65436.000,0.000,2560.030
412,63675.000,0.000,2560.030
413,62483.500,0.000,2792.760
414,64281.000,0.000,2792.760
415,69281.500,0.000,3025.490
416,76119.500,0.000,3025.490
417,80621.000,188.160,3258.220
418,81623.500,1128.960,3723.680
419,80762.000,3010.560,3723.680
420,79439.000,4515.840,3490.950
421,79355.000,5080.320,3490.950
422,78011.000,5080.320,3723.680
423,75124.000,4515.840,4189.140
424,72515.000,3198.720,4421.870
425,71755.500,1505.280,4421.870
426,72647.500,188.160,4887.330
427,77441.000,0.000,5818.250
428,80166.000,0.000,6749.170
429,76740.000,0.000,7447.360
430,72577.000,0.000,7912.820
431,70364.500,0.000,8611.010
432,72099.500,0.000,9076.470
433,71168.500,0.000,9541.930
434,68466.500,0.000,10240.120
435,68245.000,0.000,10938.310
436,66403.000,0.000,11636.500
437,65296.500,0.000,12334.690
438,66747.500,0.000,12567.420
439,71346.000,0.000,13032.880
440,77991.500,0.000,13265.610
441,82288.000,188.160,13265.610
442,82605.500,1317.120,13032.880
443,81210.000,3198.720,12567.420
444,79977.000,4515.840,12101.960
445,79687.500,5080.320,11636.500
446,78191.500,5268.480,10705.580
447,75056.500,4704.000,10472.850
448,72350.500,3575.040,9774.660
449,70980.500,1693.440,9541.930
450,71698.000,188.160,10240.120
451,76484.000,0.000,11636.500
452,79070.500,0.000,12800.150
453,75343.000,0.000,13498.340
454,71003.000,0.000,13731.070
455,68627.000,0.000,13498.340
456,70124.500,0.000,13963.800
457,68748.500,0.000,13731.070
458,65711.500,0.000,13963.800
459,65024.000,0.000,13963.800
460,62761.500,0.000,13963.800
461,61382.500,0.000,14196.530
462,62357.000,0.000,13731.070
463,66423.500,0.000,13963.800
464,71999.500,0.000,14894.720
465,75681.500,0.000,15127.450
466,76468.000,564.480,14894.720
467,75949.000,1505.280,14894.720
468,75558.500,2069.760,14894.720
469,76391.000,2257.920,15127.450
470,75666.000,2069.760,15127.450
471,73022.500,1693.440,15592.910
472,70517.500,1505.280,16291.100
473,69405.500,752.640,16989.290
474,69610.000,0.000,17454.750
475,73582.000,0.000,17687.480
476,75613.500,0.000,17920.210
477,71814.000,0.000,17687.480
478,67143.000,0.000,17454.750
479,64531.000,0.000,17454.750
480,65968.500,0.000,16989.290
481,64634.500,0.000,16756.560
482,61718.500,0.000,16291.100
483,61162.500,0.000,15592.910
484,58576.000,0.000,15127.450
485,57039.500,0.000,14196.530
486,58247.500,0.000,13032.880
487,62532.000,0.000,12101.960
488,68910.000,0.000,11869.230
489,72693.000,0.000,12101.960
490,72790.500,564.480,12334.690
491,72550.500,1317.120,12567.420
492,72420.500,1881.600,13032.880
493,73678.500,1881.600,13498.340
494,73441.000,1505.280,13963.800
495,71846.000,1128.960,13731.070
496,69956.500,940.800,13731.070
497,68970.500,564.480,13265.610
498,69182.500,188.160,14661.990
499,72140.000,0.000,15825.640
500,73943.500,0.000,15825.640
501,70006.000,0.000,15127.450
502,65816.000,0.000,14196.530
503,63246.500,0.000,13498.340
504,65036.500,0.000,12334.690
505,63780.000,0.000,10938.310
506,60687.000,0.000,9774.660
507,59983.500,0.000,8843.740
508,57727.000,0.000,8145.550
509,56292.000,0.000,7214.630
510,57622.000,0.000,6050.980
511,61996.500,0.000,5818.250
512,68242.000,0.000,5352.790
513,72229.000,0.000,4654.600
514,73290.500,376.320,4189.140
515,73007.000,752.640,3723.680
516,72811.000,1317.120,3258.220
517,73500.500,2069.760,3258.220
518,72907.000,2257.920,3490.950
519,70229.000,1881.600,3723.680
520,67789.500,1505.280,3956.410
521,66651.000,752.640,3956.410
522,67309.500,188.160,4421.870
523,71236.500,0.000,5352.790
524,73259.500,0.000,6050.980
525,70507.000,0.000,6981.900
526,66832.000,0.000,7447.360
527,65052.500,0.000,7447.360
528,66981.500,0.000,7680.090
529,65829.000,0.000,7447.360
530,62577.500,0.000,7680.090
531,61728.500,0.000,7680.090
532,59257.500,0.000,7680.090
533,57690.000,0.000,7680.090
534,57746.000,0.000,7447.360
535,59427.500,0.000,6981.900
536,61860.500,0.000,6981.900
537,64608.000,188.160,7447.360
538,67056.500,752.640,7447.360
539,68530.500,1505.280,7447.360
540,68693.500,2069.760,7680.090
541,70207.500,2257.920,7447.360
542,69879.000,2069.760,7680.090
543,66639.000,1881.600,7214.630
544,64443.000,1317.120,6749.170
545,63418.000,564.480,6283.710
546,64172.500,0.000,5818.250
547,68744.500,0.000,5585.520
548,71060.000,0.000,5818.250
549,69077.000,0.000,6283.710
550,65991.000,0.000,6283.710
551,64558.500,0.000,5818.250
552,67056.500,0.000,5585.520
553,66435.500,0.000,4887.330
554,63533.500,0.000,4654.600
555,63044.000,0.000,4421.870
556,60660.500,0.000,4421.870
557,58950.500,0.000,4421.870
558,58749.000,0.000,3956.410
559,59800.000,0.000,3956.410
560,61360.000,0.000,4189.140
561,63259.500,188.160,4887.330
562,66020.000,1128.960,5585.520
563,68445.000,2446.080,6050.980
564,69260.500,3575.040,6283.710
565,70681.000,4139.520,7214.630
566,70046.000,4139.520,8145.550
567,66090.500,3386.880,9076.470
568,63750.000,2446.080,9541.930
569,62874.500,940.800,9076.470
570,64292.000,188.160,9076.470
571,70175.500,0.000,9076.470
572,73367.000,0.000,8611.010
573,71098.500,0.000,8145.550
574,67986.000,0.000,7912.820
575,65988.000,0.000,7447.360
576,67963.000,0.000,6981.900
577,67148.500,0.000,6749.170
578,64862.000,0.000,6749.170
579,64528.000,0.000,7214.630
580,62401.500,0.000,7214.630
581,61071.500,0.000,7214.630
582,62772.500,0.000,7214.630
583,67678.000,0.000,6981.900
584,74201.500,0.000,6283.710
585,78322.500,0.000,5818.250
586,79454.000,752.640,5120.060
587,79153.000,1881.600,4189.140
588,78435.000,3198.720,3490.950
589,78540.000,3951.360,3490.950
590,77576.500,4139.520,3723.680
591,74934.000,3763.200,3723.680
592,72528.000,3010.560,3956.410
593,71581.500,1505.280,3956.410
594,72191.500,188.160,3723.680
595,77422.000,0.000,4189.140
596,81091.000,0.000,4654.600
597,77919.000,0.000,4654.600
598,73857.500,0.000,4887.330
599,71752.000,0.000,4887.330
600,73866.000,0.000,5120.060
601,72830.500,0.000,5120.060
602,70178.500,0.000,5120.060
603,69940.000,0.000,5120.060
604,68133.500,0.000,5120.060
605,66956.500,0.000,5585.520
606,68508.500,0.000,5585.520
607,73350.500,0.000,5585.520
608,79805.500,0.000,5585.520
609,83445.500,188.160,5120.060
610,84076.000,1505.280,4887.330
611,83058.500,3010.560,4189.140
612,82235.500,3951.360,3490.950
613,82531.500,4515.840,3490.950
614,81496.500,4327.680,3723.680
615,78794.000,3763.200,4421.870
616,76443.500,2446.080,4189.140
617,75648.500,940.800,3956.410
618,76112.000,188.160,4654.600
619,80062.500,0.000,5120.060
620,82316.000,0.000,6050.980
621,78646.500,0.000,6981.900
622,74450.000,0.000,7912.820
623,71859.500,0.000,8145.550
624,73404.000,0.000,8145.550
625,72093.000,0.000,8145.550
626,69175.500,0.000,7447.360
627,68819.500,0.000,6981.900
628,66284.500,0.000,6981.900
629,64662.000,0.000,6749.170
630,65508.000,0.000,6516.440
631,69690.500,0.000,6516.440
632,75419.000,0.000,6516.440
633,78967.500,188.160,6283.710
634,79976.500,752.640,5818.250
635,79595.000,1505.280,5352.790
636,79322.000,2069.760,4887.330
637,80026.000,2446.080,4654.600
638,79191.500,2634.240,4887.330
639,76853.000,2069.760,4654.600
640,74549.000,1317.120,4421.870
641,73039.500,564.480,4421.870
642,72660.000,0.000,4421.870
643,75738.000,0.000,4654.600
644,77496.500,0.000,5120.060
645,73161.500,0.000,5585.520
646,68463.500,0.000,5818.250
647,65819.500,0.000,5818.250
648,67107.000,0.000,6283.710
649,65749.500,0.000,6749.170
650,62665.500,0.000,7214.630
651,61836.000,0.000,8145.550
652,59414.000,0.000,9774.660
653,57849.500,0.000,11403.770
654,58771.500,0.000,12567.420
655,62968.000,0.000,13963.800
656,69040.000,0.000,15592.910
657,72077.500,0.000,16523.830
658,72413.500,564.480,16523.830
659,72047.000,1317.120,16523.830
660,71785.500,2069.760,16291.100
661,72360.500,2822.400,16291.100
662,71300.500,3010.560,16058.370
663,68835.500,2446.080,15592.910
664,66423.000,1693.440,15360.180
665,65268.000,752.640,14894.720
666,65257.500,188.160,13731.070
667,68655.000,0.000,12334.690
668,70875.000,0.000,10705.580
669,67152.000,0.000,9774.660
670,62866.500,0.000,10240.120
671,60489.000,0.000,10705.580
672,62215.000,0.000,12334.690
673,61044.000,0.000,13498.340
674,58050.000,0.000,14661.990
675,57303.500,0.000,15592.910
676,54938.500,0.000,16291.100
677,53561.000,0.000,16291.100
678,54720.500,0.000,16291.100
679,58951.500,0.000,16291.100
680,64974.500,0.000,16756.560
681,68326.000,188.160,16756.560
682,68714.500,940.800,16291.100
683,68000.000,2069.760,16291.100
684,67482.000,3386.880,16756.560
685,67778.000,3951.360,16989.290
686,67017.000,3951.360,16989.290
687,64896.000,3386.880,16756.560
688,62893.000,2257.920,16523.830
689,61657.000,1128.960,16058.370
690,62096.000,188.160,15127.450
691,65925.500,0.000,14196.530
692,68086.000,0.000,13032.880
693,64989.500,0.000,11636.500
694,61352.000,0.000,10705.580
695,59639.500,0.000,9774.660
696,61583.500,0.000,9076.470
697,60277.000,0.000,8145.550
698,56907.000,0.000,7680.090
699,55820.500,0.000,7214.630
700,53220.500,0.000,6981.900
