Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
03/01/2021;23;693.3741276;1432.511782;952.8637952;1421.483933;539.5894497
04/01/2021;0;642.2439828;1391.394443;1142.957001;1166.559595;521.9817026
04/01/2021;1;615.1824943;1358.973103;974.6403554;973.9654259;553.5902365
04/01/2021;2;614.2426933;1319.228657;878.6031279;856.634099;564.7283377
04/01/2021;3;618.9195011;1189.290687;982.6747961;805.2178144;548.9310599
04/01/2021;4;629.4457468;1116.561913;1086.413907;787.0678602;540.1583603
04/01/2021;5;652.9485477;1124.801152;1163.204866;791.1091823;547.335605
04/01/2021;6;719.9120434;1200.971538;1216.512356;579.609244;584.029723
04/01/2021;7;818.2830628;1224.595671;1326.358771;590.5744672;373.2758217
04/01/2021;8;863.7654653;1180.746541;1233.991786;582.3547668;379.3005151
04/01/2021;9;888.6584266;1182.696884;1205.765999;571.7878691;374.6081746
04/01/2021;10;894.758694;1182.239257;1176.463166;567.7527733;364.9721702
04/01/2021;11;916.9062489;1196.29769;1173.341494;576.0446717;368.1122166
04/01/2021;12;923.8526671;1323.521919;1367.725617;589.9841403;378.4906466
04/01/2021;13;876.1438386;1318.837005;1423.765709;552.1173634;354.8052474
04/01/2021;14;834.7687507;1233.875835;1319.877446;524.678654;334.0204866
04/01/2021;15;811.5387101;1193.223553;1204.141985;518.2837367;325.5274789
04/01/2021;16;828.0715936;1181.723248;1167.694958;531.7123656;331.7915162
04/01/2021;17;890.9776563;1238.744155;1206.445447;575.8440951;361.1020112
04/01/2021;18;989.7163557;1352.514083;1314.333575;635.7977739;397.8652816
04/01/2021;19;1038.11645;1393.596225;1377.243485;672.1420949;415.7013756
04/01/2021;20;977.9860385;1322.321741;1323.724672;635.0102052;395.7928163
04/01/2021;21;884.565367;1278.790561;1306.652515;590.0035815;363.5828281
04/01/2021;22;786.2904612;1339.050769;1469.125693;1285.599627;331.2059485
04/01/2021;23;692.0179121;1449.779962;1630.024817;1086.843613;301.6398056
05/01/2021;0;644.8611376;1394.570283;1337.634362;858.1399711;294.5233165
05/01/2021;1;622.8099144;1341.956738;1336.315943;716.7763705;965.2542544
05/01/2021;2;618.7449262;1298.797284;1268.25783;636.3275509;849.1573668
05/01/2021;3;619.0859831;1166.155821;1118.421226;606.4775289;697.59607
05/01/2021;4;628.8268712;1104.741615;1055.119719;599.9070058;615.2545698
05/01/2021;5;655.8927653;1120.383489;1084.030983;612.5209985;587.6315821
05/01/2021;6;719.5183775;1204.283977;1227.154232;544.1968435;601.3644188
05/01/2021;7;817.9703338;1233.115813;1327.076244;577.7615918;361.0282303
05/01/2021;8;862.2022825;1186.706255;1283.861969;581.5494499;366.5894364
05/01/2021;9;880.9051498;1172.241024;1241.31199;569.7741714;366.9314427
05/01/2021;10;875.874855;1168.566098;1206.784253;557.9460208;359.8978482
05/01/2021;11;883.3632576;1185.912486;1200.240035;558.339107;362.3066641
05/01/2021;12;902.1109782;1319.92134;1323.667219;572.5848857;372.5336187
05/01/2021;13;853.7528104;1309.615691;1330.668258;540.5093908;349.3004633
05/01/2021;14;820.2220035;1215.204831;1252.343973;511.000448;329.9704925
05/01/2021;15;794.4169715;1192.689571;1174.609285;507.1193429;321.5570746
05/01/2021;16;809.0907692;1179.229381;1164.085918;519.7481037;332.3822328
05/01/2021;17;874.3906112;1238.834772;1244.15257;565.1067228;363.1513966
05/01/2021;18;968.4582703;1342.906439;1360.105883;626.3426321;398.1437185
05/01/2021;19;1023.699095;1392.783799;1425.604533;669.1691599;416.5342685
05/01/2021;20;973.3343112;1318.683937;1365.413895;637.9252144;400.7674077
05/01/2021;21;882.9855744;1281.377029;1318.41422;593.8980397;366.0433138
