Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
01/01/2024;0;553.5791592;975.7941916;534.4981261;924.1959926;394.9820476
01/01/2024;1;530.3849869;972.3995018;492.307296;771.2509529;428.8976496
01/01/2024;2;517.2899586;969.51744;503.8562774;687.5801177;430.8321606
01/01/2024;3;503.5780216;843.2312199;559.3139483;641.6724241;408.3243045
01/01/2024;4;500.8398377;750.5657783;591.2372835;628.4552543;384.4677163
01/01/2024;5;514.7154309;712.5119724;619.1831547;628.9951614;377.5371825
01/01/2024;6;540.4631095;699.828305;704.5663368;524.1269522;391.6382777
01/01/2024;7;558.0384668;676.2888662;858.80182;532.3520528;400.8065315
01/01/2024;8;595.7023107;685.4536176;924.651501;555.5420017;444.6698246
01/01/2024;9;638.7345905;718.3707741;996.1414654;592.3712947;490.5661165
01/01/2024;10;675.3543579;743.0792647;1120.005816;615.8968313;518.2498579
01/01/2024;11;707.6801516;758.4242189;1087.879441;635.4033345;535.148796
01/01/2024;12;713.0168231;761.4222686;924.7195383;643.045036;514.5038903
01/01/2024;13;661.1047191;719.0236856;892.6791284;595.5683871;463.718602
01/01/2024;14;614.1793067;725.6246255;837.8631855;550.9133602;425.8337915
01/01/2024;15;597.4019625;738.9195059;815.1254815;537.9077038;405.3528248
01/01/2024;16;606.9091463;705.8459839;793.6402327;556.2439012;411.8244699
01/01/2024;17;658.6720847;736.1932619;846.6747396;610.3618809;442.3369945
01/01/2024;18;719.6870981;792.1867479;933.5397288;666.1244896;476.9653517
01/01/2024;19;750.4027637;823.3778893;1056.102174;695.0027274;494.7214229
01/01/2024;20;719.4377083;795.3456361;1106.995921;661.4313374;477.199489
01/01/2024;21;657.6053466;790.7760553;1044.820416;613.6766971;436.5259369
01/01/2024;22;592.9299505;858.8773764;832.0688145;1369.828258;389.056921
01/01/2024;23;533.7815991;944.9657634;668.1101349;1076.084658;359.2656559
02/01/2024;0;494.3533205;893.1581353;859.035099;831.2917375;348.6359245
02/01/2024;1;459.4342384;881.4191731;828.2496405;682.0830588;382.2916847
02/01/2024;2;449.5800005;865.9802435;761.9023701;609.9708233;386.105046
02/01/2024;3;449.9749727;742.1175507;609.2485002;579.2430904;364.708901
02/01/2024;4;454.1476665;665.8096699;542.4838793;576.28055;347.093955
02/01/2024;5;478.9315099;651.7481481;561.8265919;589.7658164;354.3417157
02/01/2024;6;517.4883267;679.8549193;666.9123363;516.1525738;382.5518213
02/01/2024;7;561.1376543;675.0037635;758.7649551;543.0863915;411.276378
02/01/2024;8;606.0568845;672.484705;731.1654716;568.7832517;455.5293479
02/01/2024;9;642.6008558;688.8423306;698.044148;584.3124224;491.1900078
02/01/2024;10;665.2740329;695.8303271;674.9547186;597.7926221;499.5398967
02/01/2024;11;681.8580847;719.2616965;690.1215039;617.0448723;504.200838
02/01/2024;12;704.0418212;751.353113;808.9060708;635.9529007;500.6061565
02/01/2024;13;663.3727478;715.3089322;810.686982;590.3475429;463.4355826
02/01/2024;14;628.5676802;734.7691907;723.4457873;554.7103059;436.0189703
02/01/2024;15;605.8354783;747.7509784;657.3069521;541.0320517;412.0234448
02/01/2024;16;607.3344848;702.2430692;624.1044097;555.2490681;415.0007036
02/01/2024;17;642.2065517;720.9423439;677.4655928;594.3452338;434.7062139
